iter	Passed	Remaining
214	3765	13746
215	3782	13729
216	3801	13716
217	3819	13701
218	3836	13683
219	3853	13661
220	3870	13643
221	3889	13629
222	3907	13616
223	3924	13596
224	3941	13577
225	3959	13561
226	3977	13545
227	3996	13531
228	4013	13514
229	4033	13504
230	4050	13485
231	4067	13463
232	4083	13443
233	4102	13428
234	4121	13415
235	4137	13394
236	4155	13376
237	4173	13361
238	4190	13342
239	4206	13321
240	4223	13301
241	4242	13286
242	4259	13269
243	4277	13252
244	4293	13230
245	4310	13212
246	4327	13191
247	4344	13172
248	4361	13153
249	4378	13134
250	4395	13116
251	4411	13095
252	4429	13077
253	4447	13061
254	4464	13042
255	4480	13020
256	4498	13006
257	4515	12987
258	4533	12969
259	4549	12948
260	4570	12941
261	4590	12929
262	4606	12909
263	4622	12885
264	4638	12865
265	4657	12850
266	4675	12836
267	4693	12819
268	4710	12801
269	4728	12784
270	4747	12771
271	4767	12760
272	4784	12741
273	4802	12724
274	4820	12707
275	4837	12690
276	4856	12675
277	4874	12658
278	4890	12639
279	4908	12622
280	4929	12614
281	4950	12604
282	4972	12598
283	4994	12591
284	5048	12665
285	5077	12676
286	5102	12675
287	5125	12670
288	5152	12675
289	5176	12672
290	5189	12644
291	5205	12620
292	5220	12595
293	5235	12573
294	5251	12550
295	5264	12519
296	5279	12496
297	5294	12471
298	5308	12444
299	5323	12421
300	5337	12394
301	5354	12375
302	5368	12349
303	5384	12326
304	5399	12304
305	5413	12277
306	5428	12253
307	5443	12229
308	5458	12206
309	5474	12185
310	5488	12160
311	5503	12134
312	5516	12108
313	5539	12102
314	5567	12107
315	5593	12107
316	5613	12093
317	5635	12085
318	5656	12075
319	5675	12061
320	5696	12049
321	5712	12028
322	5727	12003
323	5741	11979
324	5767	11979
325	5787	11965
326	5801	11939
327	5815	11913
328	5829	11888
329	5842	11862
330	5856	11836
331	5871	11814
332	5884	11787
333	5898	11761
334	5911	11735
335	5928	11715
336	5943	11693
337	5958	11670
338	5973	11646
339	5988	11623
340	6002	11599
341	6017	11577
342	6032	11555
343	6047	11533
344	6062	11510
345	6079	11491
346	6098	11475
347	6113	11454
348	6130	11434
349	6144	11411
350	6160	11390
351	6174	11367
352	6190	11346
353	6206	11326
354	6222	11306
355	6238	11285
356	6254	11264
357	6269	11243
358	6283	11219
359	6298	11197
360	6313	11175
361	6328	11153
362	6343	11131
363	6359	11112
364	6372	11087
365	6386	11063
366	6401	11041
367	6420	11026
368	6434	11003
369	6447	10978
370	6461	10955
371	6476	10933
372	6489	10909
373	6503	10885
374	6517	10861
375	6531	10839
376	6545	10817
377	6561	10796
378	6575	10774
379	6589	10751
380	6605	10731
381	6618	10707
382	6632	10684
383	6645	10661
384	6656	10633
385	6670	10610
386	6684	10588
387	6699	10566
388	6713	10544
389	6727	10522
390	6741	10500
391	6755	10477
392	6772	10460
393	6790	10444
394	6808	10428
395	6823	10407
396	6857	10416
397	6876	10401
398	6897	10389
399	6920	10380
400	6940	10367
401	6958	10350
402	6981	10342
403	6997	10322
404	7011	10300
405	7027	10281
406	7044	10263
407	7058	10242
408	7072	10220
409	7089	10202
410	7107	10184
411	7124	10167
412	7161	10179
413	7178	10160
414	7195	10143
415	7214	10128
416	7232	10111
417	7247	10090
418	7262	10070
419	7280	10054
420	7296	10034
421	7313	10017
422	7328	9996
423	7347	9980
424	7363	9962
425	7378	9941
426	7393	9921
427	7411	9905
428	7425	9883
429	7438	9860
430	7453	9840
431	7468	9819
432	7484	9801
433	7502	9784
434	7518	9764
435	7532	9744
436	7547	9723
437	7561	9701
438	7575	9680
439	7589	9659
440	7603	9638
441	7617	9616
442	7632	9596
443	7651	9581
444	7664	9559
445	7681	9541
446	7695	9520
447	7709	9499
448	7724	9478
449	7738	9458
450	7752	9437
451	7766	9416
452	7781	9396
453	7795	9375
454	7810	9356
455	7827	9337
456	7840	9315
457	7854	9295
458	7868	9273
459	7883	9254
460	7900	9236
461	7914	9216
462	7928	9195
463	7942	9174
464	7956	9153
465	7972	9135
466	7993	9123
467	8011	9107
468	8032	9094
469	8062	9091
470	8081	9077
471	8099	9060
472	8118	9045
473	8137	9030
474	8150	9008
475	8163	8986
476	8178	8967
477	8206	8962
478	8225	8947
479	8243	8930
480	8260	8913
481	8288	8907
482	8314	8899
483	8337	8888
484	8360	8877
485	8383	8866
486	8407	8856
487	8425	8839
488	8443	8823
489	8462	8808
490	8482	8793
491	8499	8776
492	8518	8759
493	8535	8743
494	8552	8725
495	8570	8708
496	8588	8691
497	8606	8675
498	8623	8658
499	8640	8640
500	8657	8622
501	8674	8605
502	8692	8588
503	8709	8571
504	8727	8554
505	8756	8548
506	8775	8533
507	8794	8517
508	8811	8499
509	8828	8482
510	8847	8466
511	8866	8451
512	8885	8435
513	8901	8416
514	8919	8399
515	8936	8381
516	8954	8365
517	8971	8347
518	8991	8332
519	9010	8316
520	9030	8302
521	9047	8284
522	9066	8268
523	9083	8251
524	9100	8234
525	9118	8216
526	9135	8199
527	9153	8182
528	9171	8165
529	9188	8148
530	9205	8130
531	9224	8115
532	9241	8097
533	9258	8079
534	9276	8062
535	9292	8044
536	9309	8026
537	9330	8012
538	9349	7996
539	9366	7978
540	9384	7962
541	9402	7945
542	9419	7927
543	9437	7910
544	9451	7890
545	9468	7872
546	9484	7854
547	9501	7837
548	9519	7820
549	9538	7804
550	9557	7787
551	9574	7770
552	9593	7754
553	9610	7736
554	9628	7719
555	9645	7702
556	9662	7684
557	9680	7667
558	9697	7650
559	9715	7633
560	9732	7616
561	9751	7599
562	9769	7582
563	9786	7565
564	9805	7549
565	9822	7531
566	9839	7514
567	9857	7497
568	9874	7479
569	9888	7459
570	9906	7442
571	9922	7424
572	9938	7406
573	9954	7387
574	9970	7369
575	9989	7353
576	10007	7336
577	10027	7321
578	10045	7304
579	10064	7287
580	10080	7270
581	10099	7253
582	10118	7237
583	10135	7220
584	10154	7203
585	10172	7186
586	10194	7172
587	10213	7156
588	10233	7140
589	10251	7124
590	10271	7108
591	10289	7091
592	10306	7073
593	10329	7060
594	10347	7043
595	10367	7027
596	10385	7010
597	10404	6994
598	10423	6978
599	10442	6961
600	10460	6944
601	10482	6930
602	10500	6913
603	10517	6895
604	10535	6878
605	10554	6862
606	10573	6845
607	10593	6830
608	10612	6813
609	10631	6797
610	10649	6780
611	10668	6763
612	10687	6747
613	10708	6731
614	10727	6715
615	10745	6698
616	10764	6681
617	10781	6664
618	10798	6646
619	10817	6629
620	10834	6612
621	10853	6595
622	10872	6579
623	10889	6561
624	10908	6545
625	10927	6528
626	10946	6511
627	10963	6494
628	10980	6476
629	11002	6461
630	11022	6446
631	11044	6431
632	11062	6413
633	11079	6396
634	11098	6379
635	11115	6361
636	11132	6343
637	11149	6326
638	11167	6308
639	11188	6293
640	11206	6276
641	11224	6258
642	11305	6276
643	11328	6262
644	11359	6251
645	11378	6235
646	11413	6226
647	11433	6210
648	11452	6193
649	11471	6176
650	11489	6159
651	11510	6143
652	11529	6126
653	11547	6109
654	11564	6091
655	11583	6074
656	11604	6058
657	11626	6042
658	11646	6026
659	11665	6009
660	11685	5993
661	11709	5978
662	11729	5962
663	11750	5945
664	11766	5927
665	11783	5909
666	11800	5891
667	11817	5873
668	11834	5855
669	11852	5837
670	11875	5822
671	11893	5804
672	11911	5787
673	11930	5770
674	11949	5753
675	11967	5735
676	11986	5718
677	12025	5711
678	12042	5692
679	12062	5676
680	12081	5659
681	12101	5642
682	12118	5624
683	12138	5607
684	12155	5589
685	12173	5572
686	12198	5557
687	12218	5540
688	12236	5523
689	12272	5513
690	12290	5495
691	12311	5479
692	12330	5462
693	12347	5444
694	12367	5427
695	12386	5410
696	12405	5392
697	12423	5375
698	12442	5357
699	12464	5341
700	12481	5323
701	12498	5305
702	12516	5287
703	12537	5271
704	12555	5253
705	12573	5236
706	12591	5218
707	12607	5199
708	12624	5181
709	12643	5164
710	12672	5150
711	12692	5133
712	12708	5115
713	12728	5098
714	12745	5080
715	12763	5062
716	12784	5045
717	12800	5027
718	12820	5010
719	12838	4992
720	12855	4974
721	12873	4956
722	12891	4938
723	12912	4922
724	12931	4905
725	12952	4888
726	12970	4870
727	12987	4852
728	13004	4834
729	13023	4816
730	13042	4799
731	13063	4782
732	13082	4765
733	13102	4748
734	13119	4730
735	13136	4712
736	13154	4694
737	13172	4676
738	13191	4659
739	13209	4641
740	13228	4623
741	13261	4611
742	13281	4593
743	13300	4576
744	13319	4559
745	13337	4541
746	13356	4523
747	13374	4505
748	13393	4488
749	13412	4470
750	13433	4453
751	13453	4436
752	13473	4419
753	13491	4401
754	13509	4383
755	13528	4366
756	13547	4348
757	13564	4330
758	13582	4312
759	13601	4295
760	13620	4277
761	13636	4259
762	13654	4241
763	13672	4223
764	13691	4205
765	13708	4187
766	13726	4169
767	13744	4152
768	13760	4133
769	13779	4115
770	13798	4098
771	13816	4080
772	13832	4062
773	13851	4044
774	13869	4026
775	13885	4008
776	13904	3990
777	13922	3972
778	13942	3955
779	13960	3937
780	13977	3919
781	13994	3901
782	14011	3883
783	14030	3865
784	14049	3847
785	14066	3829
786	14083	3811
787	14101	3793
788	14118	3775
789	14135	3757
790	14152	3739
791	14170	3721
792	14188	3703
793	14207	3685
794	14226	3668
795	14249	3651
796	14267	3634
797	14285	3616
798	14305	3598
799	14323	3580
800	14340	3562
801	14359	3545
802	14377	3527
803	14394	3509
804	14411	3491
805	14429	3473
806	14447	3455
807	14465	3437
808	14485	3419
809	14504	3402
810	14523	3384
811	14540	3366
812	14556	3348
813	14573	3329
814	14590	3311
815	14609	3294
816	14628	3276
817	14646	3258
818	14663	3240
819	14681	3222
820	14699	3204
821	14718	3187
822	14737	3169
823	14754	3151
824	14770	3133
825	14789	3115
826	14806	3097
827	14823	3079
828	14841	3061
829	14858	3043
830	14875	3025
831	14896	3007
832	14913	2989
833	14931	2971
834	14949	2954
835	14968	2936
836	14984	2918
837	15002	2900
838	15021	2882
839	15046	2866
840	15064	2848
841	15081	2829
842	15098	2811
843	15115	2793
844	15133	2775
845	15151	2758
846	15168	2740
847	15184	2721
848	15200	2703
849	15219	2685
850	15239	2668
851	15259	2650
852	15278	2632
853	15296	2615
854	15314	2597
855	15333	2579
856	15351	2561
857	15368	2543
858	15391	2526
859	15408	2508
860	15427	2490
861	15446	2472
862	15463	2454
863	15482	2436
864	15501	2419
865	15519	2401
866	15538	2383
867	15555	2365
868	15572	2347
869	15590	2329
870	15609	2311
871	15627	2293
872	15643	2275
873	15663	2258
874	15682	2240
875	15700	2222
876	15717	2204
877	15733	2186
878	15751	2168
879	15768	2150
880	15788	2132
881	15804	2114
882	15821	2096
883	15840	2078
884	15858	2060
885	15876	2042
886	15895	2025
887	15914	2007
888	15931	1989
889	15948	1971
890	15966	1953
891	15983	1935
892	16001	1917
893	16020	1899
894	16039	1881
895	16056	1863
896	16072	1845
897	16089	1827
898	16106	1809
899	16123	1791
900	16140	1773
901	16158	1755
902	16176	1737
903	16194	1719
904	16212	1701
905	16235	1684
906	16255	1666
907	16274	1648
908	16294	1631
909	16312	1613
910	16330	1595
911	16347	1577
912	16364	1559
913	16382	1541
914	16401	1523
915	16419	1505
916	16437	1487
917	16454	1469
918	16471	1451
919	16489	1433
920	16508	1416
921	16526	1398
922	16544	1380
923	16561	1362
924	16579	1344
925	16602	1326
926	16620	1308
927	16638	1290
928	16654	1272
929	16672	1254
930	16690	1237
931	16707	1219
932	16725	1201
933	16743	1183
934	16761	1165
935	16778	1147
936	16799	1129
937	16816	1111
938	16835	1093
939	16853	1075
940	16869	1057
941	16886	1039
942	16904	1021
943	16923	1003
944	16940	985
945	16958	968
946	16975	950
947	16993	932
948	17010	914
949	17027	896
950	17045	878
951	17064	860
952	17082	842
953	17099	824
954	17117	806
955	17134	788
956	17153	770
957	17171	752
958	17189	734
959	17206	716
960	17223	698
961	17243	681
962	17263	663
963	17282	645
964	17300	627
965	17316	609
966	17333	591
967	17351	573
968	17368	555
969	17386	537
970	17403	519
971	17421	501
972	17438	483
973	17455	465
974	17473	448
975	17492	430
976	17510	412
977	17529	394
978	17547	376
979	17564	358
980	17581	340
981	17599	322
982	17616	304
983	17633	286
984	17650	268
985	17668	250
986	17685	232
987	17703	215
988	17724	197
989	17742	179
990	17759	161
991	17776	143
992	17794	125
993	17813	107
994	17831	89
995	17849	71
996	17865	53
997	17885	35
998	17903	17
999	17922	0
